list1_1,list1_2,list1_3,list1_4,list1_5,list2_1,list2_2,list2_3,list2_4,list2_5,list3_1,list3_2,list3_3,list4_1,list4_2,list4_3,list4_4,list5,list6
2.533362590040115,0.00030371468509845666,1.148140777781692,1.8194473808666396,16.333466496487677,2.533362534743987,5.6789430333227455e-6,1.1481407779870645,1.819447373175856,16.333466496302307,"(1, 2, 3)",4181,-0.5000000000000001,-1.0,-1.0,-1.0,-1.0,"[1, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, 2]","[2, 3, 1, 3, 2, 1, 3, 2, 1, 3, 2, 3, 1]"
2.5991971361928874,3.1415914067375783,2.2504461256294137,0.785398163397196,7.8643884389831324,2.599197136192046,3.1415909085950204,2.2504461256287343,0.7853981633969671,7.864388438983104,"(1, 2, 3)",2011,-0.5,-1.0,-1.0,-1.0,-1.0,"[3, 3, 3]","[1, 2, 2]"
1.6378870265244432,2.3414794044028446,1.3795108501978361,3.129035356496879,7.5431559037445535,1.6378870265247973,2.341479404403021,1.3795108501983986,3.1290353564969684,7.543155903744535,"(1, 2, 3)",1936,-0.5,-1.0,-1.0,-1.0,-1.0,"[2, 2, 3, 3, 2, 3, 3]","[1, 3, 2, 1, 3, 1, 2]"
1.3574745196014282,0.006414965211481743,2.4541802493747147,1.730451340665075,7.243356795855416,1.3574632280778889,0.0001505709912844262,2.454180001190272,1.7304469127583797,7.243356859644371,"(1, 2, 3)",1827,-0.49999999999999994,-1.0,-1.0,-1.0,-1.0,"[3, 2, 1, 1, 3]","[2, 1, 3, 2, 1]"
1.529833521698034,1.2355815598606845,1.6086717400012536,2.9850187747055403,5.971821469126085,1.5298335216978445,1.235581559860668,1.608671740001127,2.9850187747055434,5.971821469126086,"(3, 2, 1)",1534,-0.5000000000000001,-1.0,-1.0,-1.0,-1.0,"[3, 2, 2, 2, 3, 3]","[2, 1, 3, 3, 1, 2]"
3.1415461681373795,3.141547036798426,0.48522141954387277,0.4966531423333015,8.139135750545776,3.141587441699728,3.1415874505800874,0.5152145732371597,0.5032326616204682,8.138996094768922,"(1, 2, 3)",2080,-0.5000000000000001,-1.0,-1.0,-1.0,-1.0,"[2, 1, 3]","[1, 3, 2]"
3.1415897673825017,3.138617971568325,1.1200516808158263,2.35619385165344,8.06887736799504,3.1415923666954653,3.141584587273564,1.1200517077556746,2.3561944901876406,8.068877368016434,"(1, 2, 3)",2087,-0.5,-1.0,-1.0,-1.0,-1.0,"[3, 3, 3, 2, 2, 2, 2]","[1, 1, 1, 1, 1, 1, 1]"
1.847942479152836,1.8058481306774525,1.5117246490569392,1.638314953078746,17.856929994960524,1.847942479152829,1.805848130677422,1.5117246490569538,1.6383149530787369,17.85692999496053,"(3, 2, 1)",4624,-0.49999999999999994,-1.0,-1.0,-1.0,-1.0,"[3, 2, 2, 3, 3, 2, 3, 3, 2, 2]","[2, 1, 3, 2, 1, 3, 1, 2, 3, 1]"
3.1415920257733965,3.1415918167620034,1.5694921690946724,0.32820460558535836,5.971818820108546,3.1415911842241804,3.1415910174789343,1.5694921690947754,0.3282046055852839,5.971818820108703,"(3, 2, 1)",1529,-0.4999999999999999,3.1121345002097285,1.9583851675478483,1.6544149533066173,0.3567817672316532,"[2, 2, 2, 3, 3, 3]","[1, 3, 3, 1, 2, 2]"
3.1415923846974185,3.141585282399971,1.0799055325883182,2.2881889099645325,16.111053027394927,3.141592653589793,3.1415858934992023,1.079905532588455,2.2881889099651844,16.111053027394917,"(3, 2, 1)",4130,-0.5000000000000002,2.2209273462864987,1.2905353534175685,0.7599955808882657,2.3302701597387347,"[1, 1, 2]","[2, 3, 1]"
