z0_1, z0_2, z0_3, z0_4, Zopt_1, Zopt_2, Zopt_3, Zopt_4, Zopt_5, Zopt_6, n,sigma_1, sigma_2, sigma_3
0.5991512176207386,0.10646927224226296,1.101453734655646,1.304797162890448,0.9630803722327197,1.1863161009777783e-13,1.487906464214175,2.062518471959208,6.210899738809736,-0.47414896780162996,1531.0,2,1,3
2.7251994215175817,2.1158979618111,1.4923044664579774,1.9604642472501181,2.714378185904152,3.097872493755737,1.1143435133832786,2.4240863693227754,32.45037542001595,-0.4924941085641265,8249.0,1,2,3
1.113824975633963,1.6957634241803932,1.4379616218882845,0.9313570968566872,1.0685058645170566,1.7885480632482733,0.40450049504276997,0.8841375343829629,8.347624127026918,-0.6416511017190385,2265.0,3,1,2
2.440225820031988,0.1319411651483096,0.37293096781238705,1.649956367057444,3.1415923216036004,3.141578766477191,0.6406417979476169,2.7885154128900003,15.236799699633458,-0.3479982124852614,3564.0,3,1,2
2.438935207834675,1.1835746765128257,0.4339027884676248,0.5762726086970197,1.5670289877102759,1.72933808630811,2.515193316097926e-13,0.8362152425174867,16.5865894606493,-0.4872969928753399,4204.0,1,2,3
2.3379848687678972,2.2248963047620407,1.7884927367952166,2.233385927819001,3.141587964705565,2.2443489295789,1.682677118505764,3.087500076282182,7.543152793642254,-0.5000000112967288,1931.0,1,2,3
0.2877372687273082,0.8931435326811568,2.289654662734284,1.5537820847340995,1.5902277664534825,3.1328488352192623,2.188743656031715,2.356170579748806,1.6631920570372556,-0.23359969950892484,18.0,1,3,2
2.611943194489277,0.193199223080479,2.4193117164484805,0.43979027937408766,3.1415926333596844,8.881784197001252e-16,1.9203225641800947,6.337871673286627e-18,8.077619626000429,-0.5101677927836696,2092.0,2,1,3
0.7836049300839653,1.0863540313611113,0.931527746379251,1.343733677087738,1.55757342830037,2.0547158313634104,1.5032197920283301,2.1499676838973034,22.523262463041945,-0.35863050593288015,4572.0,2,1,3
1.3122378850001535,0.6042498131282408,3.0501890327482717,2.945701123807396,0.8798787987422532,0.27617192854981276,0.5153899530361923,2.8820791522569635,14.405048264632953,-0.6247605543191147,4153.0,1,2,3
0.8060370477836707,0.8206360649574602,1.2920598468736684,0.5972426487231995,0.5217844325530232,0.36706201736653565,0.7238614436215443,0.37638252289067525,14.730040569076337,-0.43679751131877986,3510.0,2,1,3
2.186907900649456,0.6846482562831353,1.8901769855364319,2.485505838040881,1.9468440916431915,3.1415925953078454,1.1899407145256187,2.606863882035714,7.0840050181918155,-0.4620929613329766,1753.0,2,3,1
0.8663906816905259,1.6881260620914378,1.176347190215533,0.748772495703299,0.5134515091041888,1.3134767624658032,1.0208512978533228,0.24764570503835626,11.619466806453993,-0.49006312759679954,2850.0,3,2,1
2.099241813133878,2.543102686943327,3.0155131609399595,2.3840724083858715,2.2718643296253234,2.6868756047526405,2.919634315483971,2.2762992365415333,7.7465484817144805,-0.5000001015303488,1983.0,3,2,1
2.644319318770249,0.5583147593366385,1.6291706496140266,2.840665678223499,0.7988974402087664,0.18695314237040994,0.9140020522417132,2.258190161219153,15.651876184029287,-0.54909670229793,4145.0,1,2,3
0.08938218853055818,1.865738033090398,0.781646017922039,2.457152850597412,2.1163473798582957,0.1343943743251863,1.6204596788227281,2.849167129982218,22.731168293782112,-0.42077199579260155,5254.0,1,2,3
1.1885920538393338,0.1950828184203027,0.8567417454639499,0.32826175491468473,1.0035628560798673,8.526512829121202e-14,1.2820548226139985,0.2889679855449761,14.432487039304077,-0.4973727659441771,3674.0,2,1,3
2.963411050883059,1.0398470376135955,0.6767178609662393,2.9753723221520776,3.1415922962315914,3.141587879424652,1.1200518122284697,2.356194490190635,16.137754816255825,-0.5000000032471176,4131.0,3,2,1
2.808646295288007,0.43399860137416246,2.7150438608540064,1.8508925855907195,2.6374355038667145,2.5260044819759122e-5,2.1812107860327985,1.8235195101010857,14.661054676330403,-0.4999999999999926,3753.0,1,3,2
2.8739595286355875,0.9788603536924103,1.9967173184970508,0.8570596728581313,1.799461265912281,1.0005008212602169,1.7433057621177104,1.1979834682046178,16.333468394205724,-0.500000000734457,4181.0,1,2,3
